pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
1,3.0,1,0,0,0,0,1,0,2,7,53,1,0,5,0.02737850787132101
1,8.0,1,1,1,0,0,1,0,2,7,53,2,0,5,0.02737850787132101
1,3.0,1,1,1,1,0,1,0,2,7,53,3,0,5,0.02737850787132101
1,6.0,1,2,1,2,0,1,0,2,7,53,4,0,5,0.02737850787132101
4,9.0,0,1,0,0,0,0,0,0,1,4,1,0,0,0.04380561259411362
3,9.0,0,1,0,1,0,0,0,0,1,4,2,0,0,0.04380561259411362
4,4.0,0,1,0,2,0,0,0,0,1,4,3,0,0,0.04380561259411362
3,13.0,0,0,0,2,0,0,0,0,1,4,4,0,0,0.04380561259411362
3,13.0,0,2,1,2,0,0,0,0,1,4,5,0,0,0.04380561259411362
4,1.0,0,1,0,0,0,0,0,1,1,5,1,0,0,0.04380561259411362
1,4.0,0,1,0,1,0,0,0,1,1,5,2,0,0,0.04380561259411362
4,11.0,0,1,0,2,0,0,0,1,1,5,3,0,0,0.04380561259411362
1,5.0,0,1,0,2,0,0,0,1,1,5,4,0,0,0.04380561259411362
3,4.0,0,2,0,2,0,0,0,1,1,5,5,0,0,0.04380561259411362
1,14.0,1,0,0,0,0,0,1,1,1,6,1,0,0,0.04380561259411362
2,8.0,1,1,1,0,0,0,1,1,1,6,2,0,0,0.04380561259411362
1,4.0,1,2,1,1,0,0,1,1,1,6,3,0,0,0.04380561259411362
1,9.0,0,0,0,0,0,0,1,2,1,7,1,0,0,0.04380561259411362
4,2.0,0,1,1,0,0,0,1,2,1,7,2,0,0,0.04380561259411362
1,14.0,0,0,1,1,0,0,1,2,1,7,3,0,0,0.04380561259411362
1,2.0,0,2,2,1,0,0,1,2,1,7,4,0,0,0.04380561259411362
1,9.0,0,0,0,0,0,0,0,2,1,8,1,2,0,0.04380561259411362
1,4.0,0,1,1,0,0,0,0,2,1,8,2,2,0,0.04380561259411362
2,8.0,0,2,1,1,0,0,0,2,1,8,3,2,0,0.04380561259411362
1,14.0,0,0,0,0,0,0,1,2,1,9,1,2,0,0.04380561259411362
1,9.0,0,1,1,0,0,0,1,2,1,9,2,2,0,0.04380561259411362
4,6.0,0,2,1,1,0,0,1,2,1,9,3,2,0,0.04380561259411362
1,7.0,0,2,0,0,0,0,0,0,2,13,1,2,0,0.04380561259411362
1,6.0,0,1,0,0,0,0,0,1,2,14,1,2,0,0.04380561259411362
3,13.0,0,0,0,1,0,0,0,1,2,14,2,2,0,0.04380561259411362
3,14.0,0,0,1,1,0,0,0,1,2,14,3,2,0,0.04380561259411362
3,11.0,0,0,2,1,0,0,0,1,2,14,4,2,0,0.04380561259411362
1,9.0,0,2,3,1,0,0,0,1,2,14,5,2,0,0.04380561259411362
1,2.0,0,1,0,0,0,0,0,2,2,15,1,2,0,0.04380561259411362
5,13.0,0,0,0,1,0,0,0,2,2,15,2,2,0,0.04380561259411362
1,11.0,0,1,1,1,0,0,0,2,2,15,3,2,0,0.04380561259411362
5,14.0,0,1,1,2,0,0,0,2,2,15,4,2,0,0.04380561259411362
1,8.0,0,1,0,0,0,0,0,0,3,20,1,2,0,0.04380561259411362
1,5.0,0,2,0,1,0,0,0,0,3,20,2,2,0,0.04380561259411362
2,8.0,0,1,0,0,0,0,0,0,3,21,1,3,0,0.04380561259411362
3,13.0,0,0,0,1,0,0,0,0,3,21,2,3,0,0.04380561259411362
2,5.0,0,1,1,1,0,0,0,0,3,21,3,3,0,0.04380561259411362
1,11.0,0,0,1,2,0,0,0,0,3,21,4,3,0,0.04380561259411362
1,2.0,0,1,2,2,0,0,0,0,3,21,5,3,0,0.04380561259411362
5,13.0,0,0,2,2,0,0,0,0,3,21,6,3,0,0.04380561259411362
2,8.0,0,2,3,2,0,0,0,0,3,21,7,3,0,0.04380561259411362
1,14.0,1,1,0,0,0,0,0,1,3,22,1,3,0,0.04380561259411362
2,14.0,1,0,0,1,0,0,0,1,3,22,2,3,0,0.04380561259411362
1,13.0,1,0,1,1,0,0,0,1,3,22,3,3,0,0.04380561259411362
1,11.0,1,0,2,1,0,0,0,1,3,22,4,3,0,0.04380561259411362
2,14.0,1,0,3,1,0,0,0,1,3,22,5,3,0,0.04380561259411362
1,12.0,0,1,0,0,0,0,1,1,3,23,1,3,0,0.04380561259411362
5,14.0,0,0,0,1,0,0,1,1,3,23,2,3,0,0.04380561259411362
1,6.0,0,2,1,1,0,0,1,1,3,23,3,3,0,0.04380561259411362
4,8.0,0,1,0,0,0,0,0,1,3,24,1,5,0,0.04380561259411362
