,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
55,17548,Taylor Ward,28,801,0.272,0.1,0.218,0.46,0.352,0.462,3.5,27.1,0.32,1.43,5.06,-0.31,1.33,4.38,,0.251,0.6679999999999999,0.43,0.632,0.867,0.789,0.429,0.604,0.091
59,19566,Nathaniel Lowe,26,1287,0.283,0.099,0.24,0.41,0.357,0.455,3.7,42.0,0.38,2.11,-0.82,0.31,3.46,-0.23,,0.308,0.713,0.483,0.664,0.86,0.789,0.433,0.608,0.102
82,15464,Hunter Renfroe,30,1094,0.257,0.076,0.22899999999999998,0.33,0.315,0.496,2.3,29.2,1.28,0.62,-0.49,0.59,-0.34,-7.67,-5.05,0.348,0.679,0.48,0.655,0.843,0.7609999999999999,0.39899999999999997,0.63,0.115
122,17901,Andrew Benintendi,27,1059,0.289,0.083,0.16399999999999998,0.51,0.348,0.421,3.9,19.4,0.66,0.4,0.41,-0.32,1.93,4.67,,0.313,0.747,0.502,0.725,0.8490000000000001,0.805,0.435,0.588,0.098
144,20454,Jazz Chisholm Jr.,24,748,0.25,0.07400000000000001,0.282,0.26,0.31,0.459,7.3,9.8,0.69,2.81,-0.6,-0.33,-0.81,-2.12,-5.21,0.325,0.6629999999999999,0.467,0.606,0.805,0.7240000000000001,0.42100000000000004,0.598,0.129
154,5038,Josh Donaldson,36,1089,0.234,0.11800000000000001,0.24100000000000002,0.49,0.33,0.424,1.9,13.6,0.19,0.21,-0.38,-0.13,0.41,0.52,,0.29600000000000004,0.703,0.462,0.601,0.7859999999999999,0.716,0.409,0.607,0.131
236,14894,Tony Kemp,30,955,0.253,0.102,0.126,0.81,0.338,0.368,5.2,2.2,0.24,0.33,-0.07,-1.0,1.81,-3.76,,0.29,0.6659999999999999,0.455,0.792,0.925,0.878,0.439,0.597,0.055999999999999994
312,11281,Whit Merrifield,33,1270,0.265,0.061,0.14800000000000002,0.41,0.309,0.386,6.2,-11.6,-0.22,-0.53,2.31,-1.06,-0.53,1.32,,0.336,0.725,0.502,0.7490000000000001,0.8809999999999999,0.831,0.426,0.6,0.085
80,3473,Anthony Rizzo,31,1124,0.236,0.098,0.16699999999999998,0.59,0.341,0.459,4.0,30.2,0.84,0.13,-2.09,2.28,0.24,1.66,,0.325,0.6509999999999999,0.462,0.688,0.88,0.8009999999999999,0.419,0.5720000000000001,0.092
94,22581,Alejandro Kirk,23,730,0.274,0.11199999999999999,0.11,1.03,0.36,0.42,1.0,18.5,0.84,0.87,0.85,0.31,0.31,0.66,,0.268,0.628,0.419,0.7659999999999999,0.8959999999999999,0.848,0.42,0.608,0.064
168,13265,Mike Zunino,31,498,0.199,0.08,0.35700000000000004,0.22,0.275,0.493,3.0,4.8,0.31,0.09,0.94,-1.75,1.0,-4.78,,0.33,0.6890000000000001,0.478,0.452,0.757,0.633,0.413,0.604,0.175
164,7739,Travis d'Arnaud,33,655,0.251,0.055,0.218,0.25,0.307,0.443,2.0,6.9,-0.22,-0.7,-2.95,4.12,3.16,-1.24,34.27,0.366,0.732,0.525,0.631,0.8440000000000001,0.76,0.433,0.66,0.126
224,14854,Mike Yastrzemski,31,1090,0.219,0.10300000000000001,0.25,0.41,0.308,0.424,4.7,3.7,0.5,-0.98,0.9,-0.39,0.94,-2.35,-15.2,0.264,0.662,0.43799999999999994,0.627,0.866,0.785,0.43799999999999994,0.593,0.094
