id,TBA202304010
version,2
info,visteam,DET
info,hometeam,TBA
info,site,STP01
info,date,2023/04/01
info,number,0
info,gametype,regular
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,mahrn901
info,ump2b,hamaa901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,dabrj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,168
info,attendance,20204
info,wp,efliz001
info,lp,turns003
info,save,
start,maton001,"Nick Maton",0,1,5
start,greer003,"Riley Greene",0,2,8
start,baezj001,"Javier Baez",0,3,6
start,carpk001,"Kerry Carpenter",0,4,9
start,meada001,"Austin Meadows",0,5,7
start,torks001,"Spencer Torkelson",0,6,3
start,cabrm001,"Miguel Cabrera",0,7,10
start,mckiz001,"Zach McKinstry",0,8,4
play,6,1,lowej002,32,BBSBC.B,W
play,6,1,parei001,00,>B,CS2(24)
com,"$Pirates challenged (tag play), call on the field was overturned."
play,6,1,parei001,20,>B.BX,8/F8
play,7,0,reynb001,22,SS.BFBC,K
play,7,0,mccua001,01,FX,53/G5
play,7,0,santc002,00,X,D9/G3
play,7,0,suwij001,12,BSFFS,K
play,7,1,wallt003,00,,NP
sub,holdc001,"Colin Holderman",0,0,1
play,7,1,wallt003,02,.FFC,K
play,7,1,ralel001,02,TSS,K
play,7,1,bethc001,02,CSS,K
play,8,0,joe-c001,00,,NP
id,TBA202305200
version,2
info,visteam,MIL
info,hometeam,TBA
info,site,STP01
info,date,2023/05/20
info,number,0
info,gametype,regular
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hamaa901
info,ump1b,mahrn901
info,ump2b,carav901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/02 09:03:19
info,howscored,unknown
info,pitches,pitches
info,oscorer,clodt701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,159
info,attendance,19954
info,wp,efliz001
info,lp,lauee001
info,save,adamj002
start,yelic001,"Christian Yelich",0,1,7
start,winkj002,"Jesse Winker",0,2,10
start,adamw002,"Willy Adames",0,3,6
start,tellr001,"Rowdy Tellez",0,4,3
start,andeb006,"Brian Anderson",0,5,9
start,carav001,"Victor Caratini",0,6,2
start,millo002,"Owen Miller",0,7,5
start,turab002,"Brice Turang",0,8,4
start,taylt002,"Tyrone Taylor",0,9,8
start,lauee001,"Eric Lauer",0,0,1
start,diazy001,"Yandy Diaz",1,1,3
start,franw002,"Wander Franco",1,2,6
start,ramih004,"Harold Ramirez",1,3,10
start,arozr001,"Randy Arozarena",1,4,7
start,parei001,"Isaac Paredes",1,5,5
start,bethc001,"Christian Bethancourt",1,6,2
start,wallt003,"Taylor Walls",1,7,4
start,margm001,"Manuel Margot",1,8,9
start,sirij001,"Jose Siri",1,9,8
start,efliz001,"Zach Eflin",1,0,1
play,1,0,yelic001,01,CX,8/F8XD+
play,1,0,winkj002,12,CBCS,K
play,1,0,adamw002,12,FS.BFFX,8/F89XD
play,1,1,diazy001,22,BCBCX,63/G6
play,1,1,franw002,20,BBX,53/G5
play,1,1,ramih004,31,BBBCX,HR/F9D
play,1,1,arozr001,32,BBSBF.B,W
play,1,1,parei001,10,1BX,6/P6D
play,2,0,tellr001,01,CX,3/G3
play,2,0,andeb006,02,CS.X,13/G1
play,2,0,carav001,22,BF.BSC,K
play,2,1,bethc001,01,CX,8/F8D
play,2,1,wallt003,31,BBBCB,W
play,2,1,margm001,01,C1X,S8/L8.1-2
play,2,1,sirij001,12,BSF.S,K
play,2,1,diazy001,11,*SBX,HR/F8XD.2-H;1-H
play,2,1,franw002,00,X,8/F8XD
play,3,0,millo002,12,CBFX,HR/L7LD
play,3,0,turab002,00,X,S7/L7S
play,3,0,taylt002,00,>C,CS2(24)
play,3,0,taylt002,22,>C.BBFFS,K
play,3,0,yelic001,12,SSBX,31/G34
play,3,1,ramih004,22,BFBCX,7/F7
play,3,1,arozr001,22,BCBSS,K
play,3,1,parei001,32,BBFC.BFFX,53/G56
play,4,0,winkj002,01,FX,9/F9LD
play,4,0,adamw002,11,CBX,S9/L9
play,4,0,tellr001,01,FX,5/P56
play,4,0,andeb006,12,TF*BX,HR/F7D.1-H
play,4,0,carav001,22,BCBFS,K
play,4,1,bethc001,12,SF.BX,HR/F8XD
play,4,1,wallt003,31,BCBBX,D8/L78XD+
play,4,1,margm001,22,BCT*BFX,S7/G56.2-H
play,4,1,sirij001,00,,NP
sub,wilsb003,"Bryse Wilson",0,0,1
play,4,1,sirij001,01,.FX,13/G34S.1-2
play,4,1,diazy001,32,BBCBFX,S21/G2-.2-3
play,4,1,franw002,11,C*BX,36(1)3/GDP/G3
play,5,0,millo002,22,CFBBC,K
play,5,0,turab002,00,X,6/P6D
play,5,0,taylt002,02,CCS,K
play,5,1,ramih004,01,CX,563/G56
play,5,1,arozr001,22,CBBFX,6/P6MD
play,5,1,parei001,22,BSBFFFX,7/F78D
play,6,0,yelic001,01,CX,43/G4S
play,6,0,winkj002,22,SSBBX,31/G3D
play,6,0,adamw002,12,CS.BX,9/F89
play,6,1,bethc001,00,X,S7/L7
play,6,1,wallt003,31,B1BBCX,46(1)/FO/G34.B-1
play,6,1,margm001,22,1BF*BSX,8/F89D
play,6,1,sirij001,02,S1>F.S,K
play,7,0,tellr001,12,CFB*S,K
play,7,0,andeb006,10,BX,8/F8XD
play,7,0,carav001,22,CS.BFBS,K
play,7,1,diazy001,00,,NP
sub,cousj001,"Jake Cousins",0,0,1
play,7,1,diazy001,11,.BC.X,S9/G34
play,7,1,franw002,00,,NP
sub,ralel001,"Luke Raley",1,1,12
play,7,1,franw002,31,.CBBB1X,S7/L7S.1-2
play,7,1,ramih004,12,BSSS,K
play,7,1,arozr001,31,CB*BBB,W.2-3;1-2
play,7,1,parei001,32,BCBS.*BB,W.3-H;2-3;1-2
play,7,1,bethc001,22,SBBFFFS,K
play,7,1,wallt003,32,CBFBB>B,W.3-H;2-3;1-2
play,7,1,margm001,00,,NP
sub,megit001,"Trevor Megill",0,0,1
play,7,1,margm001,22,.CBC.FBFFS,K
play,8,0,millo002,00,,NP
